Time & Date,Resource Type,Action,Status,Code,Reference ID,Accession Number
"2026-04-24 15:15:30","Condition","POST","SUCCESS","201","MTc3NzAxODUzMDQwNDQ1NDAwMA","TEST999312121241"
"2026-04-24 15:15:30","Encounter","POST","SUCCESS","201","MTc3NzAxODUzMDQwNDQ1NDAwMA","TEST999312121241"
"2026-04-24 15:15:30","ServiceRequest","POST","SUCCESS","201","MTc3NzAxODUzMDQwNDQ1NDAwMA","TEST999312121241"
"2026-04-24 15:13:33","Condition","POST","SUCCESS","201","MTc3NzAxODQxMzA2Mjk5MjAwMA","T1TT-3213323"
"2026-04-24 15:13:33","Encounter","POST","SUCCESS","201","MTc3NzAxODQxMzA2Mjk5MjAwMA","T1TT-3213323"
"2026-04-24 15:13:33","ServiceRequest","POST","SUCCESS","201","MTc3NzAxODQxMzA2Mjk5MjAwMA","T1TT-3213323"
"2026-04-24 13:44:09","Condition","POST","SUCCESS","201","MTc3NzAxMzA0ODQ5Njg3ODAwMA","TEST99931212"
"2026-04-24 13:44:09","Encounter","POST","SUCCESS","201","MTc3NzAxMzA0ODQ5Njg3ODAwMA","TEST99931212"
"2026-04-24 13:44:09","ServiceRequest","POST","SUCCESS","201","MTc3NzAxMzA0ODQ5Njg3ODAwMA","TEST99931212"
"2026-04-24 13:43:54","Condition","POST","SUCCESS","201","MTc3NzAxMzAzMzY4NzQ5MDAwMA","TE4STTTT-3213323"
"2026-04-24 13:43:54","Encounter","POST","SUCCESS","201","MTc3NzAxMzAzMzY4NzQ5MDAwMA","TE4STTTT-3213323"
"2026-04-24 13:43:54","ServiceRequest","POST","SUCCESS","201","MTc3NzAxMzAzMzY4NzQ5MDAwMA","TE4STTTT-3213323"
"2026-04-24 13:23:24","Condition","POST","SUCCESS","201","MTc3NzAxMTgwNDE4MzMwMTAwMA","TEST999312"
"2026-04-24 13:23:24","Encounter","POST","SUCCESS","201","MTc3NzAxMTgwNDE4MzMwMTAwMA","TEST999312"
"2026-04-24 13:23:24","ServiceRequest","POST","SUCCESS","201","MTc3NzAxMTgwNDE4MzMwMTAwMA","TEST999312"
"2026-04-24 13:22:49","Condition","POST","SUCCESS","201","MTc3NzAxMTc2OTE3NjMxNTAwMA","TESTTTT-3213323"
"2026-04-24 13:22:49","Encounter","POST","SUCCESS","201","MTc3NzAxMTc2OTE3NjMxNTAwMA","TESTTTT-3213323"
"2026-04-24 13:22:49","ServiceRequest","POST","SUCCESS","201","MTc3NzAxMTc2OTE3NjMxNTAwMA","TESTTTT-3213323"
"2026-04-22 16:19:52","Condition","POST","SUCCESS","201","MTc3Njg0OTU5MTkyNjEwMTAwMA","TEST213321123"
"2026-04-22 16:19:52","Encounter","POST","SUCCESS","201","MTc3Njg0OTU5MTkyNjEwMTAwMA","TEST213321123"
"2026-04-22 16:19:52","ServiceRequest","POST","SUCCESS","201","MTc3Njg0OTU5MTkyNjEwMTAwMA","TEST213321123"
"2026-04-21 20:00:37","DiagnosticReport","PUT","SUCCESS","201","MTc3Njc3NjQzNjIzNDg5ODAwMA","ZCSS-11134"
"2026-04-21 20:00:37","Observation","PUT","SUCCESS","201","MTc3Njc3NjQzNjIzNDg5ODAwMA","ZCSS-11134"
"2026-04-21 20:00:37","ImagingStudy","PUT","SUCCESS","201","MTc3Njc3NjQzNjIzNDg5ODAwMA","ZCSS-11134"
"2026-04-21 20:00:35","DiagnosticReport","PUT","SUCCESS","201","MTc3Njc3NjQzNDQyOTM2MDAwMA","ZZAS-1123"
"2026-04-21 20:00:35","Observation","PUT","SUCCESS","201","MTc3Njc3NjQzNDQyOTM2MDAwMA","ZZAS-1123"
"2026-04-21 20:00:35","ImagingStudy","PUT","SUCCESS","201","MTc3Njc3NjQzNDQyOTM2MDAwMA","ZZAS-1123"
"2026-04-21 19:58:59","Condition","POST","SUCCESS","201","MTc3Njc3NjMzODgyNTgxNjAwMA","ZCSS-11134"
"2026-04-21 19:58:59","Encounter","POST","SUCCESS","201","MTc3Njc3NjMzODgyNTgxNjAwMA","ZCSS-11134"
"2026-04-21 19:58:59","ServiceRequest","POST","SUCCESS","201","MTc3Njc3NjMzODgyNTgxNjAwMA","ZCSS-11134"
"2026-04-21 19:58:38","Condition","POST","SUCCESS","201","MTc3Njc3NjMxODI5Njg1NDAwMA","ZZAS-1123"
"2026-04-21 19:58:38","Encounter","POST","SUCCESS","201","MTc3Njc3NjMxODI5Njg1NDAwMA","ZZAS-1123"
"2026-04-21 19:58:38","ServiceRequest","POST","SUCCESS","201","MTc3Njc3NjMxODI5Njg1NDAwMA","ZZAS-1123"
"2026-04-21 19:16:10","DiagnosticReport","POST","SUCCESS","201","MTc3Njc3Mzc2OTU4MTg3NTAwMA","ZCSS-111"
"2026-04-21 19:16:10","Observation","POST","SUCCESS","201","MTc3Njc3Mzc2OTU4MTg3NTAwMA","ZCSS-111"
"2026-04-21 19:16:10","ImagingStudy","POST","SUCCESS","201","MTc3Njc3Mzc2OTU4MTg3NTAwMA","ZCSS-111"
"2026-04-21 19:16:07","DiagnosticReport","POST","SUCCESS","201","MTc3Njc3Mzc2NzE1ODUwMTAwMA","ZZAS-12"
"2026-04-21 19:16:07","Observation","POST","SUCCESS","201","MTc3Njc3Mzc2NzE1ODUwMTAwMA","ZZAS-12"
"2026-04-21 19:16:07","ImagingStudy","POST","SUCCESS","201","MTc3Njc3Mzc2NzE1ODUwMTAwMA","ZZAS-12"
"2026-04-21 19:12:41","Condition","POST","SUCCESS","201","MTc3Njc3MzU2MDU3Nzg5NzAwMA","ZCSS-111"
"2026-04-21 19:12:41","Encounter","POST","SUCCESS","201","MTc3Njc3MzU2MDU3Nzg5NzAwMA","ZCSS-111"
"2026-04-21 19:12:41","ServiceRequest","POST","SUCCESS","201","MTc3Njc3MzU2MDU3Nzg5NzAwMA","ZCSS-111"
"2026-04-21 19:12:13","Condition","POST","SUCCESS","201","MTc3Njc3MzUzMjQzNDAwNTAwMA","ZZAS-12"
"2026-04-21 19:12:13","Encounter","POST","SUCCESS","201","MTc3Njc3MzUzMjQzNDAwNTAwMA","ZZAS-12"
"2026-04-21 19:12:13","ServiceRequest","POST","SUCCESS","201","MTc3Njc3MzUzMjQzNDAwNTAwMA","ZZAS-12"
